,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
73,10.0,0.8939828276634216,아주 재밌게 봤습니다 ㅎㅎㅎ지루하지 않아요 ,1.378704626191191,0.16977972819134698,1.2940454049543901,0.23164312332846373,58.0,25.0,73.0
74,1.0,0.24513286352157593,북한 냉혈한형사가 정신교육을 얼마나 철저히 받는데 4일만에 마음열고 조국포기하고 지폐쇠덩이 버리고 앉았어 유해진도 무슨 나때문에 동료들이 희생됬습니다 이거하나갖고 맘을열어 진짜이랬으면 벌써 통일됬을듯 너무 억지야 억지 ,3.1320919526731648,0.30211167506200853,1.4716141641139984,0.7865999889816444,59.0,26.0,74.0
75,1.0,0.20369946956634521,왤케 빨아재끼는지 모르겠는데진짜 개노잼임.. ,4.242640687119285,0.12440550787654084,4.083322366078694,0.8660254037844387,68.0,35.0,75.0
76,1.0,0.48063021898269653,알바들 평점으로 영화관객수 몰이하는거 그만하자 진짜 넘하네 지루해서 혼났네 에휴 cj에서배급하는건 평점이 다좋아 영화다 존노잼인데 ,4.2072993990438246,0.33356379494272237,2.1174348261970075,0.7068779254838355,68.0,35.0,76.0
77,10.0,0.6435129046440125,영화배우 김주혁씨의 고인의 명복을 빕니다.... ,1.9090479946650127,0.32900695609938574,3.574411720482271,0.255607255033712,34.0,2.0,77.0
78,10.0,0.8374618887901306,김주혁 ㅠㅠ 진짜 섹시하게 나오네...구탱이형의 다른 모습 잘봤어요 ..구탱이형의 연기를 못본다는게 너무 가슴이 아파요 ,2.775622746817921,0.3238078704009607,2.427994789821761,0.6019055246937569,36.0,4.0,78.0
79,10.0,0.9665895700454712,가족들이랑 재밌게 보고 왔어요! 추천추천~! ,1.4907119849998596,0.037505066885070784,0.8824613094329834,0.39279220242478635,52.0,20.0,79.0
80,9.0,0.985642671585083,재밌었어용ㅎㅎ  유해진 윤아 웃기구 근데 코믹보다는 액션이많아요. 중간엔 맘졸이 면서 봤어요 재밌으니깐 보세용 ,0.48989794855663565,0.34449752163061115,3.489854025840759,-0.28867513459481287,65.0,33.0,80.0
82,1.0,0.05142056941986084,내용이너무뻔해서긴장감이없네요 ,3.858612300930075,0.4034522635450703,2.292487899462382,1.0,65.0,34.0,82.0
83,1.0,0.03686869144439697,"딱 그냥 상업용 ㅇ영화, 이런 영화 너무 많다. 그만좀 만들어라 ;; 7점 중반이 적당하니 1점ㅈㅁ ",3.1170460906699704,0.2950438940952866,4.485946462704585,0.41935328287396995,96.0,65.0,83.0
84,10.0,0.8947337865829468,주혁 오빠 당신의 악역 연기에 감탄하였습니다. 적과의 동침과 공조 잘 봤습니다. 이제 다시 볼 수 없다니... 너무 보고 싶습니다. 이제 편히 쉬시고 평생 잊지 않을게요 ,1.166596222161777,0.30884454257977795,1.9142817900731013,0.7041658002677639,34.0,4.0,84.0
85,1.0,0.02794399857521057,유치했어요 현빈 잘생긴 거 빼고 별로 ,2.6945137373222483,0.30463885681763025,2.921529901438746,0.4281087318088327,64.0,34.0,85.0
86,1.0,0.12899324297904968,8.6 평점은 높은것 같습니다. 보정하기 위해 1점 투척 ,4.0276819911981905,0.19284325947312014,3.5921220580736795,1.0,74.0,44.0,86.0
87,1.0,0.14872315526008606,자꾸 이런영화만드니 북한과 친구인줄 알지 ,4.209167783019054,0.3226150970731034,3.014178516584284,0.5963146016267526,83.0,53.0,87.0
88,1.0,0.0027839243412017822,600만이라는 숫자는 남녀가 밥먹고 바로 모텔가기 뭐하니까 나온 숫자인듯하다 최악이다 ,2.7090298955911525,0.280867365092378,2.3510654351928015,0.6212247398354254,95.0,65.0,88.0
89,1.0,0.46311280131340027,정말 간만에 본 3류 쓰레2기 영화였다엉성하고 많이본 스토리 재탕에 음악까지 왜이리 촌스러운지 보는 내내 하품만..알바들에게 낚인게 죄지 러닝타임중 10분은 차에서 농담따먹기 집구석에서 30분 수다..참 편허게 찍죠잉 도깨비 한회보다 못한 쓰레2기다 ,3.6209268304000717,0.20210383043539099,2.362855543692907,0.5595369233203168,54.0,25.0,89.0
90,1.0,0.01439616084098816,영화보다가 세번이나 나갈뻔했음... 유해진 김주혁 현빈어찌이런 ×레기를 만들다니 ,3.6206870894900596,0.2899325680467437,3.801047168672085,0.4941662111074008,62.0,33.0,90.0
91,1.0,0.20100533962249756,표절영화가 다시는 수면위에 드러나서는 안된다 ,3.491060010942235,0.2772112618853178,2.689913761382286,0.54217190956134,69.0,40.0,91.0
92,1.0,0.5906442999839783,현빈빨의 영화.... ,4.4339585132925725,0.22158419008534969,4.315515977396092,0.10543256376521315,36.0,9.0,92.0
93,8.0,0.9948762059211731,재밌어요~~역시 유해진이란 말이  절로 나옴~~캡짱 멋져분 현빈~~ ,1.8330302779823358,0.1097538475024175,1.807923436164856,-0.21081851067789195,45.0,18.0,93.0
94,9.0,0.5524603128433228,현빈이 너무잘생겻고 이제 현빈을 좋아할것이에용 ,1.4135996211406145,0.26059296485544314,2.021915170053641,0.07830942302904047,48.0,21.0,94.0
95,1.0,0.002083390951156616,재미없고 뻔한 스토리며 하여튼 별로에요오 ㅋ ,3.1874754901018454,0.341980249076755,2.6567579925060274,0.7978634243562575,49.0,22.0,95.0
96,1.0,0.019555211067199707,재미없던데...김주혁 혼자 연기하는 줄... ,4.2999762695121175,0.3123583712144167,3.299228242465428,0.8964214570007953,70.0,43.0,96.0
97,9.0,0.9915194511413574,주연들의 연기가 정말 예술입니다~ 재밌게 잘봤습니다 ,1.0497813183356477,0.34003526820246505,2.2172384006636485,0.40089186286863665,46.0,20.0,97.0
98,10.0,0.9412654638290405,너무너무너무너무너무너무재밋당 ,1.0497813183356477,0.26059116580984587,3.8950437137058804,-0.40824829046386296,51.0,25.0,98.0
99,9.0,0.2966160178184509,현빈 너무 멋있고 그와중에 유해진도 잘생겨 보임 ,3.155817433482074,0.28656712847163074,2.2572865741593495,0.7783117824941564,38.0,13.0,99.0
100,10.0,0.7167182564735413,굿굿짱재미진다느으응으응으응ㅇ ,1.0,0.10984445668031742,1.7232297956943512,-0.8944271909999159,39.0,14.0,100.0
101,9.0,0.7654213905334473,흐름도 좋지만 액션볼거리가 흥미로웠습니다. ,2.958039891549808,0.2808827862419689,2.425117149949074,0.7999999999999999,42.0,17.0,101.0
102,1.0,0.45515596866607666,전형적인 90년대 스토리와 예상되는 전개...500만의 이유를 모르겠음...시간가는줄 알고 봄... 진짜 따분함.... ,4.126934702680931,0.3070357734159612,2.973168854279057,0.44391014912720966,46.0,21.0,102.0
103,1.0,0.03457960486412048,CJ 감성영화 JK필름 제발... ㅡㅡ ,3.095361008611218,0.2689128335088473,3.14693166280356,0.4582027708360036,51.0,26.0,103.0
104,9.0,0.6761677861213684,영화는 역시 재미는있는데 좀아쉬운면도있네요 ,1.699673171197595,0.40439926103950535,2.8312631448109946,1.0,58.0,33.0,104.0
105,9.0,0.913680911064148,현빈과 유해진의 케미가 꿀잼^^ ,0.4714045207910317,0.2575185715216467,2.2503307660420737,0.0,37.0,13.0,105.0
106,1.0,0.001999765634536743,어떻게 이런 영화가 1위일 수 있는지 궁금함. 너무 최악이라 다들 할 말이 없어서 평점을 안 다는 거라고 생각함. ,4.242640687119285,0.32387420680044765,3.266778608163198,0.8660254037844387,40.0,16.0,106.0
107,1.0,0.015002250671386719,9점대라고 하기엔 너무 부족한 영화.. 고증은 씹어 먹은건 둘째 치고 스토리가 너무 허술하다 그냥 상업용 영화.돈벌이 그이상 이하도 아님 ,4.1126123385159445,0.3486564614311713,2.0649221936861673,0.7267220926874317,41.0,17.0,107.0
108,1.0,0.15837082266807556,"크 OO노잼 쓰레기 영화가 당당히 예매율 1위하는 클라스 보소 ^^ 평점엔 알바 천국이 따로 없고 ㅋㅋㅋㅋ 일본 영화계는 오타쿠들이 점령하고 한국 영화계는 CJ, 롯데가 점령하네 ^^ ",3.169472441204617,0.24877134699074388,2.6546169300874074,0.2898895848754451,42.0,18.0,108.0
109,1.0,0.1811235547065735,와 평점봐라.. 내 여친은 옆에서 자던데 ㅋㅋㅋ 10년전에 개봉했으면 흥행했을수도 있었을듯 스토리가 너무 진부하고 옛스럽습니다. ,3.682880593700483,0.3231707951743517,2.9121759900679955,0.6636406197344309,43.0,19.0,109.0
110,1.0,0.6604069471359253,"한국영화의 발전을 위해서는 이런 영화는 더이상 만들지 않기를 바란다. 몇달전에 본것같은 내용들, 뻔한 웃음코드, 눈물짜내기 식의 한국감성 영화는 이제 지겹다. 이런 영화보다는 보고 또 볼만한 영화를 보고싶다 ",2.9764702249476644,0.20257105824575322,2.194972813129425,0.3424587453664927,33.0,10.0,110.0
111,1.0,0.11334019899368286,"댓글 알바 너무 심하네요. 현빈씨와 김주혁씨의 연기가 아까울 만큼 시나리오 거지 같네요. 그리고 유해진씨의 코믹한 연기를 기대했지, 찌질한 연기를 기대한 게 아니었습니다. 실망이네요. 이 영화가 1위라니. ",3.2998316455372216,0.08766831063826255,1.7591025630633037,0.8660254037844387,37.0,14.0,111.0
112,10.0,0.36623215675354004,현빈 별로였는데 겁나 멋있네요.유해진씨 연기는 두말할필요없구요.시간 가는줄 모르고 재밌게봤어요. ,1.3726971700492272,0.23854307039135839,2.195123511733431,0.35349967614166106,40.0,17.0,112.0
113,10.0,0.5937291383743286,삼가 고인의 명복을 빕니다. ,0.3726779962499649,0.2510716133123687,4.438956717650096,0.6546536707079772,23.0,1.0,113.0
114,10.0,0.5165257453918457,이제 치고 올라 가려고 상까지 받았는데 이게 무슨일이래 ㅠㅠ 형님 잊지않을께요 ㅠ ,3.7448189060424877,0.2104551397253385,4.691038292187911,0.18946618668626833,25.0,3.0,114.0
115,1.0,0.5224055647850037,해진씨 한테는 미안한 얘기지만 이딴 영화가 600만 이라는건 정말 심심한 사람들이 많다는거. ,1.97221823001097,0.2978688787487048,2.9211356970998974,0.43055172399668085,29.0,7.0,115.0
116,10.0,0.9650869369506836,어떻게보면 조금 진부한 전개의 스토리를 현빈의 담담하면서도 깊이있는 눈빛+액션연기와 유해진의 코믹연기의 조합이 영화의 몰입도를 살리고 지루하지않게 해주었습니다 보는내내 현빈님 너무 멋있었어요! ,1.1661903789690602,0.34332122476740884,2.196990740299225,0.6668859288553503,29.0,7.0,116.0
117,8.0,0.9982995986938477,현빈 넘 멋있어^^~ 믿고보는 유해진 연기에 푹빠졌다.코믹도 액션연기도 넘 좋고 영화대박나길~~ ,0.816496580927726,0.19603138230176823,2.1362448400921292,-0.5478131126115972,33.0,11.0,117.0
118,9.0,0.9998722076416016,재미있게  잘봤네요 현빈 넘 멋있고요 유해진 연기도 좋았어요~ ,0.82915619758885,0.22506909656862895,1.2674309462308884,0.9486832980505139,38.0,16.0,118.0
119,1.0,0.01534360647201538,전형적인 꼬레아 시간낭비돈낭비 영화 ,2.4438130497691963,0.3007255854133275,3.9360368897517524,0.4406658718397887,44.0,22.0,119.0
121,1.0,0.015404552221298218,OOO 말 세번 반복하기도 아깝다. 돈노린 짜집기 상업영화. 의미없는 장편 찌라시. 아마도 닭년이나 찍찍이 투자받고 프로파갠다 목적으로 만들었을 듯. 역겹다. 볼거리로서의 집중력도 관객의 몫. 겨우 힘을 짜내서 일하는 영화인들이 보일지경 ,4.0512588676482295,0.23290656127192755,4.112045154685066,0.30182165073182177,31.0,10.0,121.0
122,10.0,0.8086428642272949,처음부터 끝까지 재밌게 봤네요.. 강추 ,2.027159342528357,0.3196384004856045,2.432942658662796,0.6424160744396211,32.0,11.0,122.0
123,1.0,0.4942646026611328,알바 짱난다...초딩들은 재밌을듯 ,3.2853292726532097,0.17416860687131128,3.912471895868128,0.10136060675992288,33.0,12.0,123.0
124,1.0,0.0005065798759460449,"절대 보지 마세요알바들에게 완전 낚임... 내용 하나도 없는 쓰레기 영화시간, 돈 버리고 싶은 사람만 보세요공짜로 보여줘도 안 본다 ",3.5832945734337835,0.3801505972906305,2.261758363246918,0.9536459298086263,36.0,15.0,124.0
125,1.0,0.03302636742591858,평점높아서 봤더니 재미없어서 토나오는 줄 ,4.350066312491905,0.31777153365811084,3.583951555765592,0.33973927013633803,39.0,18.0,125.0
126,1.0,0.93724524974823,솔직히 지금인기는 거품많은거같네요.보면서 실망많이했습니다.크게웃기지도 구성이탄탄하지도 않은 한국식 코믹액션영화정도네요.같이본20대여성은 재밌었다고하던데 저한텐 가볍게 보기에도 아쉬움이 많은 영화였습니다유해진씨 정말 좋아하는배우인데 아쉽네요 ,4.409081537009721,0.4204654567251036,2.242322560615139,0.8660254037844386,39.0,18.0,126.0
127,10.0,0.5552120208740234,이제 다시는 볼수없는 구탱이형 잘가십시오 ,3.976600349561928,0.21911456035117047,2.822370423447518,0.3671781526936073,26.0,6.0,127.0
